站點名稱,城鎮,aqi,狀態,日期
富貴角,新北市,64,普通,"Fri 29 Mar 2024, 11:00AM"
麥寮,雲林縣,67,普通,"Fri 29 Mar 2024, 11:00AM"
關山,臺東縣,28,良好,"Fri 29 Mar 2024, 11:00AM"
馬公,澎湖縣,56,普通,"Fri 29 Mar 2024, 11:00AM"
金門,金門縣,92,普通,"Fri 29 Mar 2024, 11:00AM"
馬祖,連江縣,59,普通,"Fri 29 Mar 2024, 11:00AM"
埔里,南投縣,55,普通,"Fri 29 Mar 2024, 11:00AM"
復興,高雄市,58,普通,"Fri 29 Mar 2024, 11:00AM"
永和,新北市,66,普通,"Fri 29 Mar 2024, 11:00AM"
竹山,南投縣,65,普通,"Fri 29 Mar 2024, 11:00AM"
中壢,桃園市,82,普通,"Fri 29 Mar 2024, 11:00AM"
三重,新北市,71,普通,"Fri 29 Mar 2024, 11:00AM"
冬山,宜蘭縣,69,普通,"Fri 29 Mar 2024, 11:00AM"
宜蘭,宜蘭縣,63,普通,"Fri 29 Mar 2024, 11:00AM"
陽明,臺北市,42,良好,"Fri 29 Mar 2024, 11:00AM"
花蓮,花蓮縣,56,普通,"Fri 29 Mar 2024, 11:00AM"
臺東,臺東縣,28,良好,"Fri 29 Mar 2024, 11:00AM"
恆春,屏東縣,33,良好,"Fri 29 Mar 2024, 11:00AM"
潮州,屏東縣,54,普通,"Fri 29 Mar 2024, 11:00AM"
屏東,屏東縣,40,良好,"Fri 29 Mar 2024, 11:00AM"
小港,高雄市,47,良好,"Fri 29 Mar 2024, 11:00AM"
前鎮,高雄市,57,普通,"Fri 29 Mar 2024, 11:00AM"
前金,高雄市,46,良好,"Fri 29 Mar 2024, 11:00AM"
左營,高雄市,59,普通,"Fri 29 Mar 2024, 11:00AM"
楠梓,高雄市,69,普通,"Fri 29 Mar 2024, 11:00AM"
林園,高雄市,50,良好,"Fri 29 Mar 2024, 11:00AM"
大寮,高雄市,59,普通,"Fri 29 Mar 2024, 11:00AM"
鳳山,高雄市,53,普通,"Fri 29 Mar 2024, 11:00AM"
仁武,高雄市,65,普通,"Fri 29 Mar 2024, 11:00AM"
橋頭,高雄市,71,普通,"Fri 29 Mar 2024, 11:00AM"
美濃,高雄市,34,良好,"Fri 29 Mar 2024, 11:00AM"
臺南,臺南市,53,普通,"Fri 29 Mar 2024, 11:00AM"
安南,臺南市,60,普通,"Fri 29 Mar 2024, 11:00AM"
善化,臺南市,65,普通,"Fri 29 Mar 2024, 11:00AM"
